OTU,Domain,Phylum,Class,Order,Family,Genus,Species
OTU3,k:Bacteria(1.0000),p:Firmicutes(0.9600),c:Clostridia(0.8352),o:Clostridiales(0.5763),f:YNPFFP2(0.2536)
OTU4,k:Bacteria(1.0000),p:Firmicutes(0.8200),c:Clostridia(0.5904),o:Clostridiales(0.3365),f:Family_XVII(0.1413),g:Sulfobacillus(0.0353)
OTU10,k:Bacteria(1.0000),p:Chloroflexi(0.7600),c:SHA-26(0.5244)
OTU7,k:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Actinobacteria(1.0000),o:Frankiales(1.0000),f:Acidothermaceae(1.0000),g:Acidothermus(1.0000)
OTU8,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rhizobiales(1.0000),f:Bradyrhizobiaceae(1.0000),g:Bradyrhizobium(0.9900)
OTU6,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(1.0000),o:Bacillales(1.0000),f:Alicyclobacillaceae(1.0000),g:Alicyclobacillus(1.0000)
OTU2,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(1.0000),o:Bacillales(1.0000),f:Alicyclobacillaceae(1.0000),g:Alicyclobacillus(1.0000)
OTU1,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(1.0000),o:Bacillales(1.0000),f:Alicyclobacillaceae(1.0000),g:Alicyclobacillus(1.0000)
OTU9,k:Bacteria(1.0000),p:Acidobacteria(1.0000),c:Acidobacteria(1.0000),o:Subgroup_3(1.0000),f:Unknown_Family(1.0000),g:Bryobacter(1.0000)
OTU5,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(1.0000),o:Bacillales(1.0000),f:Alicyclobacillaceae(1.0000),g:Alicyclobacillus(1.0000)
OTU11,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Xanthomonadales(1.0000),f:Xanthomonadaceae(1.0000),g:Rhodanobacter(0.6500)
OTU12,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(1.0000),o:Bacillales(1.0000),f:Alicyclobacillaceae(1.0000),g:Alicyclobacillus(1.0000)
OTU13,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(1.0000),o:Bacillales(1.0000),f:Alicyclobacillaceae(1.0000),g:Alicyclobacillus(1.0000)
OTU14,k:Bacteria(1.0000),p:Firmicutes(0.9900),c:Bacilli(0.9801),o:Bacillales(0.9703),f:Paenibacillaceae(0.9606),g:Paenibacillus(0.9510)
OTU16,k:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Thermoleophilia(1.0000),o:Solirubrobacterales(1.0000),f:TM146(1.0000)
OTU18,k:Bacteria(1.0000),p:Firmicutes(0.9900),c:Clostridia(0.9801),o:Clostridiales(0.9605),f:Family_XVII(0.9413),g:Sulfobacillus(0.9225)
OTU23,k:Bacteria(1.0000),p:Bacteroidetes(1.0000),c:Sphingobacteriia(1.0000),o:Sphingobacteriales(1.0000),f:Sphingobacteriaceae(1.0000),g:Mucilaginibacter(1.0000)
OTU15,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(1.0000),o:Bacillales(1.0000),f:Alicyclobacillaceae(1.0000),g:Alicyclobacillus(1.0000)
OTU21,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Clostridia(1.0000),o:Thermoanaerobacterales(1.0000),f:Family_III(1.0000),g:Thermoanaerobacterium(1.0000),s:Thermoanaerobacterium_saccharolyticum(0.2800)
OTU22,k:Bacteria(1.0000),p:Acidobacteria(1.0000),c:Holophagae(1.0000),o:Holophagales(1.0000),f:Holophagaceae(1.0000),g:Holophaga(0.9500)
OTU17,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(1.0000),o:Bacillales(0.9900),f:Bacillaceae(0.6435),g:Bacillus(0.4183)
OTU19,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Xanthomonadales(1.0000),f:Xanthomonadales_Incertae_Sedis(1.0000),g:Acidibacter(1.0000)
OTU20,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(1.0000),o:Bacillales(1.0000),f:Alicyclobacillaceae(1.0000),g:Alicyclobacillus(1.0000),s:Bacillales_bacterium_P261(0.9500)
OTU25,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(0.1300),o:Sphingomonadales(0.0169),f:Sphingomonadaceae(0.0022),g:Novosphingobium(0.0003),s:unidentified(0.0001)
OTU24,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rhizobiales(1.0000),f:Xanthobacteraceae(0.9400),g:Variibacter(0.8366)
OTU30,k:Bacteria(1.0000),p:Bacteroidetes(1.0000),c:Sphingobacteriia(1.0000),o:Sphingobacteriales(1.0000),f:Chitinophagaceae(1.0000)
OTU27,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(1.0000),o:Bacillales(1.0000),f:Paenibacillaceae(0.9500),g:Paenibacillus(0.9025)
OTU29,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(0.9900),o:Bacillales(0.9801),f:Paenibacillaceae(0.9507),g:Paenibacillus(0.8937),s:Paenibacillus_chartarius(0.2592)
OTU26,k:Bacteria(1.0000),p:Firmicutes(0.9900),c:Clostridia(0.9801),o:Clostridiales(0.9703),f:Family_XVII(0.9509)
OTU34,k:Bacteria(1.0000),p:Firmicutes(0.8300),c:Clostridia(0.5810),o:Clostridiales(0.2731),f:Family_XVII(0.0956),g:Sulfobacillus(0.0325)
OTU28,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Betaproteobacteria(1.0000),o:Burkholderiales(1.0000),f:Comamonadaceae(0.9900),g:Aquincola(0.6336)
OTU32,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(1.0000),o:Bacillales(1.0000),f:Alicyclobacillaceae(1.0000),g:Alicyclobacillus(1.0000)
OTU31,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Pseudomonadales(1.0000),f:Pseudomonadaceae(1.0000),g:Pseudomonas(1.0000)
OTU37,k:Bacteria(1.0000),p:Bacteroidetes(1.0000),c:Sphingobacteriia(1.0000),o:Sphingobacteriales(1.0000),f:Chitinophagaceae(1.0000)
OTU36,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Xanthomonadales(1.0000)
OTU33,k:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Actinobacteria(1.0000),o:Streptomycetales(1.0000),f:Streptomycetaceae(1.0000),g:Streptacidiphilus(0.8100),s:Streptacidiphilus_specus(0.4698)
